33
0,26,49,68,92,60,76,86,30,65,91,31,62,18,12,43,66,93,88,11,93,24,56,31,26,69,98,95,56,55,68,20,61
26,0,70,55,57,27,45,72,23,28,24,75,78,81,19,63,35,86,48,15,12,57,62,64,68,51,23,81,95,14,93,56,46
49,70,0,39,94,27,19,91,64,100,55,63,22,16,58,68,84,16,68,36,69,96,57,92,23,85,34,87,27,77,92,68,19
68,55,39,0,30,34,55,39,81,65,34,71,54,30,32,43,43,58,67,19,65,38,38,65,80,16,28,17,86,90,41,14,58
92,57,94,30,0,14,49,44,18,37,33,12,99,80,61,45,15,75,57,100,88,93,42,75,26,93,69,44,41,11,76,21,73
60,27,27,34,14,0,49,34,21,37,84,16,90,91,16,31,22,37,95,61,27,14,44,87,43,86,97,90,69,98,12,40,67
76,45,19,55,49,49,0,12,17,34,99,43,71,15,53,30,78,38,36,38,93,62,35,12,46,12,76,15,58,30,71,91,11
86,72,91,39,44,34,12,0,80,43,73,37,68,64,42,51,71,72,40,38,38,95,51,78,91,72,39,100,17,71,20,68,66
30,23,64,81,18,21,17,80,0,25,73,61,45,19,51,39,35,31,45,35,21,81,49,84,82,30,89,98,19,41,53,94,24
65,28,100,65,37,37,34,43,25,0,32,27,86,17,97,49,80,38,93,14,43,54,77,58,75,92,21,59,46,49,19,21,60
91,24,55,34,33,84,99,73,73,32,0,37,33,83,17,51,17,36,90,72,14,36,36,20,35,57,82,100,99,51,71,92,65
31,75,63,71,12,16,43,37,61,27,37,0,51,81,92,72,31,96,51,89,35,88,59,63,56,27,24,33,59,65,95,60,85
62,78,22,54,99,90,71,68,45,86,33,51,0,82,42,15,17,26,94,52,27,21,84,36,81,95,18,43,98,31,44,87,17
18,81,16,30,80,91,15,64,19,17,83,81,82,0,62,75,99,57,61,31,62,66,43,56,20,37,11,84,32,11,43,80,20
12,19,58,32,61,16,53,42,51,97,17,92,42,62,0,36,74,87,54,39,88,44,96,98,60,57,72,53,83,98,88,93,73
43,63,68,43,45,31,30,51,39,49,51,72,15,75,36,0,45,62,66,95,53,54,68,48,76,98,55,51,49,13,59,10,99
66,35,84,43,15,22,78,71,35,80,17,31,17,99,74,45,0,63,24,22,48,13,71,63,24,83,85,70,20,76,32,49,21
93,86,16,58,75,37,38,72,31,38,36,96,26,57,87,62,63,0,93,45,43,43,97,23,53,27,95,77,56,22,17,99,70
88,48,68,67,57,95,36,40,45,93,90,51,94,61,54,66,24,93,0,41,61,42,98,93,86,22,31,10,32,92,95,96,52
11,15,36,19,100,61,38,38,35,14,72,89,52,31,39,95,22,45,41,0,38,15,38,47,91,47,22,52,21,82,25,20,100
93,12,69,65,88,27,93,38,21,43,14,35,27,62,88,53,48,43,61,38,0,18,62,72,48,12,89,25,29,49,95,70,59
24,57,96,38,93,14,62,95,81,54,36,88,21,66,44,54,13,43,42,15,18,0,24,100,49,46,78,73,72,94,17,39,96
56,62,57,38,42,44,35,51,49,77,36,59,84,43,96,68,71,97,98,38,62,24,0,42,42,55,68,75,54,50,58,43,37
31,64,92,65,75,87,12,78,84,58,20,63,36,56,98,48,63,23,93,47,72,100,42,0,23,27,11,45,36,31,51,94,58
26,68,23,80,26,43,46,91,82,75,35,56,81,20,60,76,24,53,86,91,48,49,42,23,0,79,85,36,74,94,67,26,100
69,51,85,16,93,86,12,72,30,92,57,27,95,37,57,98,83,27,22,47,12,46,55,27,79,0,85,96,42,45,63,25,46
98,23,34,28,69,97,76,39,89,21,82,24,18,11,72,55,85,95,31,22,89,78,68,11,85,85,0,98,15,19,25,40,65
95,81,87,17,44,90,15,100,98,59,100,33,43,84,53,51,70,77,10,52,25,73,75,45,36,96,98,0,41,69,77,28,30
56,95,27,86,41,69,58,17,19,46,99,59,98,32,83,49,20,56,32,21,29,72,54,36,74,42,15,41,0,81,34,26,76
55,14,77,90,11,98,30,71,41,49,51,65,31,11,98,13,76,22,92,82,49,94,50,31,94,45,19,69,81,0,21,28,59
68,93,92,41,76,12,71,20,53,19,71,95,44,43,88,59,32,17,95,25,95,17,58,51,67,63,25,77,34,21,0,84,79
20,56,68,14,21,40,91,68,94,21,92,60,87,80,93,10,49,99,96,20,70,39,43,94,26,25,40,28,26,28,84,0,39
61,46,19,58,73,67,11,66,24,60,65,85,17,20,73,99,21,70,52,100,59,96,37,58,100,46,65,30,76,59,79,39,0
